sample,fastq_1,fastq_2,strandedness
SAB02_SAB01,,,auto
SAB02_SAB02,,,auto
SAB02_SAB03,,,auto
SAB02_SAB04,,,auto
SAB02_SAB05,,,auto
SAB02_SAB06,,,auto
SAB02_SAB07,,,auto
SAB02_SAB08,,,auto
SAB02_SAB09,,,auto
SAB02_SAB10,,,auto
SAB02_SAB11,,,auto
SAB02_SAB12,,,auto
SAB02_SAB13,,,auto
SAB02_SAB14,,,auto
SAB02_SAB15,,,auto
SAB02_SAB16,,,auto
SAB02_SAB17,,,auto
SAB02_SAB18,,,auto
SAB02_SAB19,,,auto
SAB02_SAB20,,,auto
SAB02_SAB21,,,auto
SAB02_SAB22,,,auto
SAB02_SAB23,,,auto
SAB02_SAB24,,,auto
SAB02_SAB25,,,auto
SAB02_SAB26,,,auto
SAB02_SAB27,,,auto
SAB02_SAB28,,,auto
SAB02_SAB29,,,auto
SAB02_SAB30,,,auto
SAB02_SAB31,,,auto
SAB02_SAB32,,,auto
SAB02_SAB33,,,auto
SAB02_SAB34,,,auto
SAB02_SAB35,,,auto
SAB02_SAB36,,,auto
SAB02_SAB37,,,auto
SAB02_SAB38,,,auto
SAB02_SAB39,,,auto
SAB02_SAB40,,,auto
SAB02_SAB41,,,auto
SAB02_SAB42,,,auto
SAB02_SAB43,,,auto
SAB02_SAB44,,,auto
SAB02_SAB45,,,auto
SAB02_SAB46,,,auto
SAB02_SAB47,,,auto
SAB02_SAB48,,,auto
SAB02_SAB49,,,auto
SAB02_SAB50,,,auto
SAB02_SAB51,,,auto
SAB02_SAB52,,,auto
SAB02_SAB53,,,auto
SAB02_SAB54,,,auto
SAB02_SAB55,,,auto
SAB02_SAB56,,,auto
SAB02_SAB57,,,auto
SAB02_SAB58,,,auto
SAB02_SAB59,,,auto
SAB02_SAB60,,,auto
SAB02_SAB61,,,auto
SAB02_SAB62,,,auto
SAB02_SAB63,,,auto
SAB02_SAB64,,,auto
SAB02_SAB65,,,auto
SAB02_SAB66,,,auto
SAB02_SAB67,,,auto
SAB02_SAB68,,,auto
SAB02_SAB69,,,auto
SAB02_SAB70,,,auto
SAB02_SAB71,,,auto
SAB02_SAB72,,,auto
